GEO_ID,Geographic Area Name, !!Total:,Block
1000000US360570702003007,"Block 3007, Block Group 3, Census Tract 702, Montgomery County, New York",40,3007
1000000US360570702003008,"Block 3008, Block Group 3, Census Tract 702, Montgomery County, New York",55,3008
1000000US360570702003009,"Block 3009, Block Group 3, Census Tract 702, Montgomery County, New York",55,3009
1000000US360570702003010,"Block 3010, Block Group 3, Census Tract 702, Montgomery County, New York",29,3010
1000000US360570702003011,"Block 3011, Block Group 3, Census Tract 702, Montgomery County, New York",0,3011
1000000US360570702003012,"Block 3012, Block Group 3, Census Tract 702, Montgomery County, New York",0,3012
1000000US360570702003013,"Block 3013, Block Group 3, Census Tract 702, Montgomery County, New York",12,3013
1000000US360570702003014,"Block 3014, Block Group 3, Census Tract 702, Montgomery County, New York",42,3014
1000000US360570702003015,"Block 3015, Block Group 3, Census Tract 702, Montgomery County, New York",18,3015
1000000US360570702003016,"Block 3016, Block Group 3, Census Tract 702, Montgomery County, New York",0,3016
1000000US360570702003017,"Block 3017, Block Group 3, Census Tract 702, Montgomery County, New York",0,3017
1000000US360570702003018,"Block 3018, Block Group 3, Census Tract 702, Montgomery County, New York",0,3018
1000000US360570702003019,"Block 3019, Block Group 3, Census Tract 702, Montgomery County, New York",21,3019
1000000US360570702003020,"Block 3020, Block Group 3, Census Tract 702, Montgomery County, New York",60,3020
1000000US360570702003021,"Block 3021, Block Group 3, Census Tract 702, Montgomery County, New York",17,3021
1000000US360570702003022,"Block 3022, Block Group 3, Census Tract 702, Montgomery County, New York",25,3022
1000000US360570702003023,"Block 3023, Block Group 3, Census Tract 702, Montgomery County, New York",19,3023
1000000US360570702003024,"Block 3024, Block Group 3, Census Tract 702, Montgomery County, New York",17,3024
1000000US360570702003025,"Block 3025, Block Group 3, Census Tract 702, Montgomery County, New York",61,3025
1000000US360570702003026,"Block 3026, Block Group 3, Census Tract 702, Montgomery County, New York",26,3026
1000000US360570702003027,"Block 3027, Block Group 3, Census Tract 702, Montgomery County, New York",4,3027
1000000US360570702003028,"Block 3028, Block Group 3, Census Tract 702, Montgomery County, New York",19,3028
1000000US360570702003029,"Block 3029, Block Group 3, Census Tract 702, Montgomery County, New York",9,3029
1000000US360570702003030,"Block 3030, Block Group 3, Census Tract 702, Montgomery County, New York",22,3030
1000000US360570702003031,"Block 3031, Block Group 3, Census Tract 702, Montgomery County, New York",3,3031
1000000US360570702003032,"Block 3032, Block Group 3, Census Tract 702, Montgomery County, New York",0,3032
1000000US360570702003033,"Block 3033, Block Group 3, Census Tract 702, Montgomery County, New York",0,3033
1000000US360570702003034,"Block 3034, Block Group 3, Census Tract 702, Montgomery County, New York",14,3034
1000000US360570702003035,"Block 3035, Block Group 3, Census Tract 702, Montgomery County, New York",7,3035
1000000US360570702003036,"Block 3036, Block Group 3, Census Tract 702, Montgomery County, New York",0,3036
1000000US360570702003037,"Block 3037, Block Group 3, Census Tract 702, Montgomery County, New York",16,3037
1000000US360570702003038,"Block 3038, Block Group 3, Census Tract 702, Montgomery County, New York",0,3038
1000000US360570702003039,"Block 3039, Block Group 3, Census Tract 702, Montgomery County, New York",12,3039
1000000US360570702003040,"Block 3040, Block Group 3, Census Tract 702, Montgomery County, New York",8,3040
1000000US360570702003041,"Block 3041, Block Group 3, Census Tract 702, Montgomery County, New York",19,3041
1000000US360570703001000,"Block 1000, Block Group 1, Census Tract 703, Montgomery County, New York",23,1000
1000000US360570703001001,"Block 1001, Block Group 1, Census Tract 703, Montgomery County, New York",56,1001
1000000US360570703001002,"Block 1002, Block Group 1, Census Tract 703, Montgomery County, New York",95,1002
1000000US360570703001003,"Block 1003, Block Group 1, Census Tract 703, Montgomery County, New York",60,1003
1000000US360570703001004,"Block 1004, Block Group 1, Census Tract 703, Montgomery County, New York",75,1004
1000000US360570703001005,"Block 1005, Block Group 1, Census Tract 703, Montgomery County, New York",73,1005
1000000US360570703001006,"Block 1006, Block Group 1, Census Tract 703, Montgomery County, New York",51,1006
1000000US360570703001007,"Block 1007, Block Group 1, Census Tract 703, Montgomery County, New York",69,1007
1000000US360570703001008,"Block 1008, Block Group 1, Census Tract 703, Montgomery County, New York",67,1008
1000000US360570703001009,"Block 1009, Block Group 1, Census Tract 703, Montgomery County, New York",36,1009
1000000US360570703001010,"Block 1010, Block Group 1, Census Tract 703, Montgomery County, New York",22,1010
1000000US360570703001011,"Block 1011, Block Group 1, Census Tract 703, Montgomery County, New York",31,1011
1000000US360570703001012,"Block 1012, Block Group 1, Census Tract 703, Montgomery County, New York",61,1012
1000000US360570703001013,"Block 1013, Block Group 1, Census Tract 703, Montgomery County, New York",33,1013
1000000US360570703001014,"Block 1014, Block Group 1, Census Tract 703, Montgomery County, New York",30,1014
1000000US360570703001015,"Block 1015, Block Group 1, Census Tract 703, Montgomery County, New York",51,1015
1000000US360570703001016,"Block 1016, Block Group 1, Census Tract 703, Montgomery County, New York",45,1016
1000000US360570703001017,"Block 1017, Block Group 1, Census Tract 703, Montgomery County, New York",37,1017
1000000US360570703001018,"Block 1018, Block Group 1, Census Tract 703, Montgomery County, New York",36,1018
1000000US360570703002000,"Block 2000, Block Group 2, Census Tract 703, Montgomery County, New York",19,2000
1000000US360570703002001,"Block 2001, Block Group 2, Census Tract 703, Montgomery County, New York",38,2001
1000000US360570703002002,"Block 2002, Block Group 2, Census Tract 703, Montgomery County, New York",0,2002
1000000US360570703002003,"Block 2003, Block Group 2, Census Tract 703, Montgomery County, New York",59,2003
1000000US360570703002004,"Block 2004, Block Group 2, Census Tract 703, Montgomery County, New York",81,2004
1000000US360570703002005,"Block 2005, Block Group 2, Census Tract 703, Montgomery County, New York",33,2005
1000000US360570703002006,"Block 2006, Block Group 2, Census Tract 703, Montgomery County, New York",187,2006
1000000US360570703002007,"Block 2007, Block Group 2, Census Tract 703, Montgomery County, New York",0,2007
1000000US360570703002008,"Block 2008, Block Group 2, Census Tract 703, Montgomery County, New York",48,2008
1000000US360570703002009,"Block 2009, Block Group 2, Census Tract 703, Montgomery County, New York",143,2009
1000000US360570703002010,"Block 2010, Block Group 2, Census Tract 703, Montgomery County, New York",58,2010
